event_id,event_short,station,event_score,negative_score,event_decision,negative_decision
us7000dflf,Kermadec,TATO,1.0338670411429358,0.442838697631705,True,True
us7000dflf,Kermadec,PAB,1.3103103995745846,0.2206636487452673,True,True
us7000dflf,Kermadec,CASY,1.5242196417378218,-0.039152747119581985,True,True
ak0219neiszm,Chignik,TATO,1.5074403364503348,0.10055753950806315,True,True
ak0219neiszm,Chignik,PAB,3.676671717374082,-0.17269934316007546,True,True
ak0219neiszm,Chignik,CASY,-0.6505320179385845,0.8881135639970223,False,False
us6000f53e,Sandwich,TATO,-0.7312375945733716,-0.8361786630658563,False,True
us6000f53e,Sandwich,PAB,0.34017653304077367,-2.191849963378534,False,True
us6000f53e,Sandwich,CASY,2.6241561468977177,-1.147367270872998,True,True
us6000qw60,Kamchatka,TATO,2.466803256841487,-0.08824617235881299,True,True
us6000qw60,Kamchatka,PAB,2.200891713553905,-1.6494803361743309,True,True
us6000qw60,Kamchatka,CASY,-0.8603997782385481,-1.9835815279397246,False,True
