prefix_blocks,prefix_seconds,development_loeo_ba,reference_ratio_ba,raw_mean_ba,raw_q90_ba
1,3.2,0.9375,0.7916666666666667,0.6666666666666667,0.6666666666666667
2,6.4,0.9166666666666666,0.7916666666666666,0.7083333333333334,0.6666666666666667
4,12.8,0.8333333333333333,0.7916666666666666,0.7083333333333333,0.7083333333333333
8,25.6,0.9791666666666666,0.7916666666666666,0.7083333333333334,0.7083333333333334
16,51.2,0.9791666666666666,0.8333333333333333,0.7083333333333334,0.7083333333333334
32,102.4,0.9375,0.8333333333333333,0.7083333333333334,0.7083333333333334
64,204.8,0.9375,0.7916666666666666,0.75,0.7916666666666667
